orbit,tid_min_krad_yr,tid_max_krad_yr,tid_mid_krad_yr,seu_relative,seu_log10,tid_5yr_min_krad,tid_5yr_max_krad,tid_10yr_min_krad,tid_10yr_max_krad,tid_15yr_min_krad,tid_15yr_max_krad,tid_vs_leo_factor,expected_lifetime_yr,tid_below_leo,threat_score_100
HEO (Molniya),50,200,125.0,316000.0,5.5,250,1000,500,2000,750,3000,6.25,0.8,False,50.0
"MEO (~20,200 km)",5,15,10.0,100000.0,5.0,25,75,50,150,75,225,0.5,10.0,False,35.0
地日 L1,2,5,3.5,316,2.5,10,25,20,50,30,75,0.17,28.6,True,16.7
地日 L2,2,5,3.5,316,2.5,10,25,20,50,30,75,0.17,28.6,True,16.7
地月 L4/L5,5,15,10.0,22.4,1.35,25,75,50,150,75,225,0.5,10.0,False,13.1
地月 L1,5,15,10.0,22.4,1.35,25,75,50,150,75,225,0.5,10.0,False,13.1
地月 L2,5,15,10.0,22.4,1.35,25,75,50,150,75,225,0.5,10.0,False,13.1
LEO (SSO 600km),10,30,20.0,1,0.0,50,150,100,300,150,450,1.0,5.0,False,10.0
"GEO (~35,786 km)",3,10,6.5,5.5,0.74,15,50,30,100,45,150,0.33,15.4,False,7.7
