orbit,launch_1mw_M,launch_vs_leo,thermal_area_m2,thermal_vs_leo,pv_area_m2,pv_vs_leo,storage_kwh,storage_vs_leo,threat_score,threat_vs_leo,lifetime_yr,lifetime_vs_leo,composite_index
"GEO (~35,786 km)",4.6,1.53,1442.0,0.46,3315.0,0.37,2167.0,2.0,7.7,0.77,15.4,3.08,0.834
地月 L1,4.1,1.37,1434.0,0.46,3315.0,0.37,903.0,0.83,13.1,1.31,10.0,2.0,0.936
地月 L4/L5,4.2,1.4,1445.0,0.46,3184.0,0.36,0.0,0.0,13.1,1.31,10.0,2.0,0.944
地月 L2,4.2,1.4,1434.0,0.46,3315.0,0.37,903.0,0.83,13.1,1.31,10.0,2.0,0.946
地日 L1,4.1,1.37,1445.0,0.46,3184.0,0.36,0.0,0.0,16.7,1.67,28.6,5.72,0.992
地日 L2,4.1,1.37,1445.0,0.46,3184.0,0.36,0.0,0.0,16.7,1.67,28.6,5.72,0.992
LEO (SSO 600km),3.0,1.0,3115.0,1.0,8844.0,1.0,1083.0,1.0,10.0,1.0,5.0,1.0,1.0
"MEO (~20,200 km)",3.9,1.3,1439.0,0.46,3528.0,0.4,0.0,0.0,35.0,3.5,10.0,2.0,1.467
HEO (Molniya),4.8,1.6,1477.0,0.47,4407.0,0.5,1806.0,1.67,50.0,5.0,0.8,0.16,2.525
